,0
1,ranker
"<a href=""/en/players/774cf58b/Max-Aarons""Max Aarons",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",team
24-057,age
2000,birth_year
14,games
12,games_starts
"1,085",minutes
12.1,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.8,xg_assist
0.8,npxg_xg_assist
19,progressive_carries
40,progressive_passes
22,progressive_passes_received
0.00,goals_per90
0.08,assists_per90
0.08,goals_assists_per90
0.00,goals_pens_per90
0.08,goals_assists_pens_per90
0.00,xg_per90
0.07,xg_assist_per90
0.07,xg_xg_assist_per90
0.00,npxg_per90
0.07,npxg_xg_assist_per90
"<a href=""/en/players/774cf58b/matchlogs/2023-2024/summary/Max-Aarons-Match-Logs""Matches",matches
2,ranker
"<a href=""/en/players/77816c91/Benie-Adama-Traore""Bénie Adama Traore",player
"<a href=""/en/country/CIV/Cote-dIvoire-Football""<span style=""white-space: nowrap""<span class=""f-i f-ci"" style=""""ci",nationality
"FW,MF",position
"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",team
21-092,age
2002,birth_year
8,games
3,games_starts
387,minutes
4.3,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.3,xg
0.3,npxg
0.5,xg_assist
0.8,npxg_xg_assist
7,progressive_carries
9,progressive_passes
14,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.06,xg_per90
0.13,xg_assist_per90
0.19,xg_xg_assist_per90
0.06,npxg_per90
0.19,npxg_xg_assist_per90
"<a href=""/en/players/77816c91/matchlogs/2023-2024/summary/Benie-Adama-Traore-Match-Logs""Matches",matches
3,ranker
"<a href=""/en/players/c81d773d/Tosin-Adarabioyo""Tosin Adarabioyo",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",team
26-159,age
1997,birth_year
12,games
10,games_starts
903,minutes
10.0,minutes_90s
1,goals
0,assists
1,goals_assists
1,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.3,xg
0.3,npxg
0.1,xg_assist
0.4,npxg_xg_assist
4,progressive_carries
31,progressive_passes
2,progressive_passes_received
0.10,goals_per90
0.00,assists_per90
0.10,goals_assists_per90
0.10,goals_pens_per90
0.10,goals_assists_pens_per90
0.03,xg_per90
0.01,xg_assist_per90
0.04,xg_xg_assist_per90
0.03,npxg_per90
0.04,npxg_xg_assist_per90
"<a href=""/en/players/c81d773d/matchlogs/2023-2024/summary/Tosin-Adarabioyo-Match-Logs""Matches",matches
4,ranker
"<a href=""/en/players/0480ebc7/Elijah-Adebayo""Elijah Adebayo",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
FW,position
"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",team
26-054,age
1998,birth_year
23,games
13,games_starts
"1,162",minutes
12.9,minutes_90s
9,goals
0,assists
9,goals_assists
9,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
5.6,xg
5.6,npxg
0.7,xg_assist
6.3,npxg_xg_assist
14,progressive_carries
19,progressive_passes
85,progressive_passes_received
0.70,goals_per90
0.00,assists_per90
0.70,goals_assists_per90
0.70,goals_pens_per90
0.70,goals_assists_pens_per90
0.43,xg_per90
0.05,xg_assist_per90
0.49,xg_xg_assist_per90
0.43,npxg_per90
0.49,npxg_xg_assist_per90
"<a href=""/en/players/0480ebc7/matchlogs/2023-2024/summary/Elijah-Adebayo-Match-Logs""Matches",matches
5,ranker
"<a href=""/en/players/4dcec659/Simon-Adingra""Simon Adingra",player
"<a href=""/en/country/CIV/Cote-dIvoire-Football""<span style=""white-space: nowrap""<span class=""f-i f-ci"" style=""""ci",nationality
FW,position
"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",team
22-060,age
2002,birth_year
19,games
15,games_starts
"1,322",minutes
14.7,minutes_90s
6,goals
1,assists
7,goals_assists
6,goals_pens
0,pens_made
0,pens_att
2,cards_yellow
0,cards_red
3.0,xg
3.0,npxg
2.1,xg_assist
5.2,npxg_xg_assist
65,progressive_carries
26,progressive_passes
176,progressive_passes_received
0.41,goals_per90
0.07,assists_per90
0.48,goals_assists_per90
0.41,goals_pens_per90
0.48,goals_assists_pens_per90
0.21,xg_per90
0.14,xg_assist_per90
0.35,xg_xg_assist_per90
0.21,npxg_per90
0.35,npxg_xg_assist_per90
"<a href=""/en/players/4dcec659/matchlogs/2023-2024/summary/Simon-Adingra-Match-Logs""Matches",matches
6,ranker
"<a href=""/en/players/288e1e13/Nayef-Aguerd""Nayef Aguerd",player
"<a href=""/en/country/MAR/Morocco-Football""<span style=""white-space: nowrap""<span class=""f-i f-ma"" style=""""ma",nationality
DF,position
"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",team
27-337,age
1996,birth_year
19,games
19,games_starts
"1,686",minutes
18.7,minutes_90s
1,goals
0,assists
1,goals_assists
1,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
1,cards_red
1.5,xg
1.5,npxg
0.2,xg_assist
1.8,npxg_xg_assist
9,progressive_carries
61,progressive_passes
3,progressive_passes_received
0.05,goals_per90
0.00,assists_per90
0.05,goals_assists_per90
0.05,goals_pens_per90
0.05,goals_assists_pens_per90
0.08,xg_per90
0.01,xg_assist_per90
