,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
0,1,"<a href=""/en/players/774cf58b/Max-Aarons""Max Aarons","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",24-058,2000,14,12,"1,085",12.1,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,19,40,22,0.00,0.08,0.08,0.00,0.08,0.00,0.07,0.07,0.00,0.07,"<a href=""/en/players/774cf58b/matchlogs/2023-2024/summary/Max-Aarons-Match-Logs""Matches"
1,2,"<a href=""/en/players/77816c91/Benie-Adama-Traore""Bénie Adama Traore","<a href=""/en/country/CIV/Cote-dIvoire-Football""<span style=""white-space: nowrap""<span class=""f-i f-ci"" style=""""ci","FW,MF","<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",21-093,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,"<a href=""/en/players/77816c91/matchlogs/2023-2024/summary/Benie-Adama-Traore-Match-Logs""Matches"
2,3,"<a href=""/en/players/c81d773d/Tosin-Adarabioyo""Tosin Adarabioyo","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",26-160,1997,12,10,903,10.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,4,31,2,0.10,0.00,0.10,0.10,0.10,0.03,0.01,0.04,0.03,0.04,"<a href=""/en/players/c81d773d/matchlogs/2023-2024/summary/Tosin-Adarabioyo-Match-Logs""Matches"
3,4,"<a href=""/en/players/0480ebc7/Elijah-Adebayo""Elijah Adebayo","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",FW,"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",26-055,1998,23,13,"1,162",12.9,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,85,0.70,0.00,0.70,0.70,0.70,0.43,0.05,0.49,0.43,0.49,"<a href=""/en/players/0480ebc7/matchlogs/2023-2024/summary/Elijah-Adebayo-Match-Logs""Matches"
4,5,"<a href=""/en/players/4dcec659/Simon-Adingra""Simon Adingra","<a href=""/en/country/CIV/Cote-dIvoire-Football""<span style=""white-space: nowrap""<span class=""f-i f-ci"" style=""""ci",FW,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",22-061,2002,19,15,"1,322",14.7,6,1,7,6,0,0,2,0,3.0,3.0,2.1,5.2,65,26,176,0.41,0.07,0.48,0.41,0.48,0.21,0.14,0.35,0.21,0.35,"<a href=""/en/players/4dcec659/matchlogs/2023-2024/summary/Simon-Adingra-Match-Logs""Matches"
5,6,"<a href=""/en/players/288e1e13/Nayef-Aguerd""Nayef Aguerd","<a href=""/en/country/MAR/Morocco-Football""<span style=""white-space: nowrap""<span class=""f-i f-ma"" style=""""ma",DF,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",27-338,1996,19,19,"1,686",18.7,1,0,1,1,0,0,3,1,1.5,1.5,0.2,1.8,9,61,3,0.05,0.00,0.05,0.05,0.05,0.08,0.01,0.09,0.08,0.09,"<a href=""/en/players/288e1e13/matchlogs/2023-2024/summary/Nayef-Aguerd-Match-Logs""Matches"
6,7,"<a href=""/en/players/938fa024/Brandon-Aguilera""Brandon Aguilera","<a href=""/en/country/CRC/Costa-Rica-Football""<span style=""white-space: nowrap""<span class=""f-i f-cr"" style=""""cr",FW,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",20-248,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/938fa024/matchlogs/2023-2024/summary/Brandon-Aguilera-Match-Logs""Matches"
7,8,"<a href=""/en/players/a6c58494/Naouirou-Ahamada""Naouirou Ahamada","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr","MF,FW","<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",21-339,2002,15,0,214,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,14,11,15,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,"<a href=""/en/players/a6c58494/matchlogs/2023-2024/summary/Naouirou-Ahamada-Match-Logs""Matches"
8,9,"<a href=""/en/players/eab957a3/Anel-Ahmedhodzic""Anel Ahmedhodžić","<a href=""/en/country/BIH/Bosnia-and-Herzegovina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ba"" style=""""ba",DF,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",24-342,1999,20,19,"1,755",19.5,1,0,1,1,0,0,8,0,2.5,2.5,0.0,2.6,8,27,17,0.05,0.00,0.05,0.05,0.05,0.13,0.00,0.13,0.13,0.13,"<a href=""/en/players/eab957a3/matchlogs/2023-2024/summary/Anel-Ahmedhodzic-Match-Logs""Matches"
9,10,"<a href=""/en/players/246d153b/Ola-Aina""Ola Aina","<a href=""/en/country/NGA/Nigeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-ng"" style=""""ng",DF,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",27-146,1996,14,12,989,11.0,1,1,2,1,0,0,3,0,0.2,0.2,0.5,0.7,29,30,22,0.09,0.09,0.18,0.09,0.18,0.01,0.05,0.06,0.01,0.06,"<a href=""/en/players/246d153b/matchlogs/2023-2024/summary/Ola-Aina-Match-Logs""Matches"
